assortativity_min,assortativity_max,assortativity_avg,assortativity_std,assortativity_median,average_neighbor_degree_min,average_neighbor_degree_max,average_neighbor_degree_avg,average_neighbor_degree_std,average_neighbor_degree_median,clustering_min,clustering_max,clustering_avg,clustering_std,clustering_median,degree_min,degree_max,degree_avg,degree_std,degree_median,degree_centrality_min,degree_centrality_max,degree_centrality_avg,degree_centrality_std,degree_centrality_median,diameter_min,diameter_max,diameter_avg,diameter_std,diameter_median,eigenvector_min,eigenvector_max,eigenvector_avg,eigenvector_std,eigenvector_median,nb_of_edges_min,nb_of_edges_max,nb_of_edges_avg,nb_of_edges_std,nb_of_edges_median,nb_of_nodes_min,nb_of_nodes_max,nb_of_nodes_avg,nb_of_nodes_std,nb_of_nodes_median,node_clique_number_min,node_clique_number_max,node_clique_number_avg,node_clique_number_std,node_clique_number_median,number_of_cliques_min,number_of_cliques_max,number_of_cliques_avg,number_of_cliques_std,number_of_cliques_median,pagerank_min,pagerank_max,pagerank_avg,pagerank_std,pagerank_median,percolation_limit_min,percolation_limit_max,percolation_limit_avg,percolation_limit_std,percolation_limit_median,triangles_min,triangles_max,triangles_avg,triangles_std,triangles_median
-0.13844264842501833,-0.13828664720349446,-0.13835974068316448,3.4767328106624946E-5,-0.13835935038242175,854.1694846567351,854.9522809113247,854.5939499666854,0.2072991974690028,854.621651314772,0.153104790710286,0.15461277963037628,0.153550387080152,2.2214064079706448E-4,0.15349577745656762,4.269637070187007,4.2718307685833325,4.270867041332961,4.647463256769733E-4,4.270920414408913,5.9893555746027916E-5,5.992524154228505E-5,5.990851507665292E-5,6.82366956294431E-9,5.990765816970968E-5,14.0,14.0,14.0,0.0,14.0,0.0010134094776551195,0.0010145569341514747,0.0010139577122046527,2.1953261185483182E-7,0.0010139459136662584,152168.0,152263.0,152236.8,23.07379465974744,152243.0,71279.0,71300.0,71290.81666666667,5.582939104055725,71290.0,2.5180036750782007,2.525387830672988,2.520585030188339,0.0018743708113163713,2.519934067510931,6.184941018052263,6.28747176904625,6.207655255789155,0.02241659012696703,6.195821703577991,1.4025245441795255E-5,1.4029377516519607E-5,1.4027052189714704E-5,1.098513105051246E-9,1.4027212792818044E-5,0.9984085805837716,0.9984103602355044,0.9984094893151033,4.241269687359336E-7,0.9984095492339444,6.577168027382656,6.632266300078554,6.59633834905134,0.013490181224309637,6.591541895407003
-0.13850065305167264,-0.13834486607033938,-0.13841682230347524,3.918652918308454E-5,-0.1384161955306668,852.9260959099405,855.1805075401118,853.8362092274889,0.6238731684757617,853.7281124425888,0.15316708936344875,0.15382642693821494,0.15347185986785664,1.5793415167668335E-4,0.15349955125921844,4.268397417906259,4.270636412083134,4.269587388125607,5.319339012004665E-4,4.269549914637707,5.987070765750069E-5,5.991953393319479E-5,5.989569391483816E-5,1.5082765579592893E-8,5.989312493366098E-5,14.0,14.0,14.0,0.0,14.0,0.0010130783264317839,0.0010150162506864975,0.0010140680505397054,5.534973724472818E-7,0.0010140978478553526,152083.0,152261.0,152178.16666666666,57.90031370971016,152203.0,71257.0,71309.0,71284.71666666666,21.214075649188967,71302.5,2.517513331462251,2.5202372938404576,2.518194761286517,7.119231497928817E-4,2.5179653315382025,6.190453474015041,6.347460241774885,6.248317645920933,0.037675999665009466,6.2377036626429785,1.4023475297648223E-5,1.4033708968943414E-5,1.4028253654515642E-5,4.174887766423155E-9,1.4024753690952981E-5,0.9984062720969412,0.9984099004146195,0.9984079211381991,1.0537987449399324E-6,0.9984077528681623,6.56767597436293,6.597434853991553,6.577427574161648,0.008292860630878338,6.574181781643107
-0.13840239385270184,-0.13826407711463604,-0.13832291786810835,2.7371327651395215E-5,-0.13831798974649284,854.1459288005167,855.7988784919352,854.9672724546493,0.42807588510201977,854.7896661564107,0.15342488002860016,0.15436457662459796,0.15362353443022134,1.406720215111624E-4,0.1535939052114056,4.270295280558593,4.2718770594091335,4.271186985573038,3.448437922462795E-4,4.271247764491639,5.987430463059398E-5,5.990825800865042E-5,5.9894127974756144E-5,8.267902057838715E-9,5.9895247469271524E-5,14.0,14.0,14.0,0.0,14.0,0.0010132714730726718,0.0010146541927064582,0.0010139228361437374,3.610072770255639E-7,0.001013887970311993,152275.0,152333.0,152296.18333333332,11.430692650195523,152297.5,71304.0,71323.0,71313.28333333334,5.443365318322406,71313.5,2.517935773383817,2.5205020333754034,2.5186090946861364,7.57124769448127E-4,2.518280926923054,6.188977702986958,6.313446650959273,6.242785190422182,0.026362178025641492,6.240787227555515,1.4020722628044259E-5,1.4024458655895895E-5,1.4022633077417538E-5,1.0703589527285798E-9,1.4022590393812634E-5,0.9984090907547513,0.9984110794855907,0.9984100818351332,4.651199774995257E-7,0.9984099451711654,6.565688006505707,6.600070116393213,6.580134778115629,0.008642672928648135,6.578952900986467
-0.13833128232371317,-0.13822923149965335,-0.13828648816410907,2.0442030088478948E-5,-0.13828889455124552,856.6955575861897,857.4256632496814,857.0570266372745,0.1945590931496269,857.1113442679784,0.15312337919308108,0.15377501022628018,0.15330351007539642,1.3108979947162508E-4,0.15327370060933754,4.269709543568465,4.271924414040597,4.271029609949564,4.979788193154557E-4,4.271073824212026,5.9854342799025236E-5,5.988539165964249E-5,5.9872232591711366E-5,7.740504760862162E-9,5.987201229058443E-5,14.0,14.0,14.0,0.0,14.0,0.0010142064375816835,0.0010151496638026642,0.0010147133027688258,2.0409962417266978E-7,0.0010147492785033225,152292.0,152371.0,152340.65,16.77450143238427,152343.0,71331.0,71342.0,71336.73333333334,2.0491144566595363,71336.5,2.5170393215111795,2.5250711412030222,2.5186743360198998,0.001474992754826453,2.5179287336342484,6.150240401463435,6.33047829987664,6.236827947837598,0.03019847693163988,6.235903078436323,1.4016988590171282E-5,1.4019150159117337E-5,1.401802345137767E-5,4.0265866265021954E-10,1.401806929200516E-5,0.9984117119257117,0.99841356320809,0.9984128258130525,3.6345234357036596E-7,0.9984128122944311,6.569648289106635,6.622790417314998,6.582732681010582,0.013071723972636456,6.576308966232669
-0.14546243531739125,-0.1382853451663375,-0.13917856487420688,0.0019946218050666616,-0.13833590450984867,781.2611391450988,856.5238511326805,847.6808109483931,20.355051489588178,856.2709533483827,0.14823925736165702,0.15387395900562323,0.15286658626291036,0.0013668270404088737,0.15341079981913464,4.225349743474726,4.271972861588495,4.265967091224976,0.012761540440651297,4.271260339335047,5.923083033313324E-5,5.988449395806966E-5,5.9802245714369717E-5,1.797885859187909E-7,5.9877048245924965E-5,14.0,14.0,14.0,0.0,14.0,9.624350021499939E-4,0.001014558071052869,0.0010082109478311509,1.3951194601731265E-5,0.0010140847239291087,150714.0,152377.0,152157.58333333334,452.9925464896125,152342.0,71326.0,71342.0,71335.56666666667,3.0992982621006564,71336.0,2.5045978300485015,2.5206835162678556,2.517040171036775,0.003730640232215184,2.5181883174229363,6.104011887072808,6.314954227474731,6.218338029578447,0.050330043376546084,6.230928817136412,1.4016988590171282E-5,1.4020132910859986E-5,1.4018252725585685E-5,6.090604642965234E-10,1.4018167545138498E-5,0.998224713920141,0.9984117380605034,0.9983901644403701,4.985164906083452E-5,0.998411040625143,6.459390507163083,6.608570707637098,6.570244959387753,0.03513749579445526,6.578721224400666
-0.1385405044654513,-0.13845561147688096,-0.138488021275762,1.9644067068827638E-5,-0.13848410811273115,858.3602722800181,858.9663103589787,858.7200950169789,0.14769109906077119,858.7375231529919,0.1529928409788658,0.1534973058844126,0.15317394814680238,7.070134336513408E-5,0.15316847737567993,4.268088988700962,4.269681530450405,4.26883016095285,3.411400078222071E-4,4.2688477653278465,5.9897268021722145E-5,5.992871923266435E-5,5.99160692238029E-5,7.2535114694494636E-9,5.991734602545143E-5,14.0,14.0,14.0,0.0,14.0,0.0010145383899443936,0.0010154835387574705,0.001015124662546155,1.9573746411496044E-7,0.0010151760792915447,152035.0,152113.0,152072.45,19.741915315859337,152074.5,71236.0,71266.0,71247.83333333333,6.8967363115764595,71247.0,2.5172433153203735,2.519777104036831,2.5177596080242983,6.301254931975746E-4,2.5175586341342258,6.167862005080773,6.288134403772737,6.221379158284472,0.0251444925105799,6.21699311595448,1.4031936687901642E-5,1.4037846032904693E-5,1.4035514659571967E-5,1.358452459677248E-9,1.4035678695243323E-5,0.998412853870823,0.9984140818914367,0.9984135313732149,2.743011210294459E-7,0.9984135285042881,6.565750136847868,6.593829829043034,6.57240297967642,0.00671381224688657,6.56981640559205
-0.1450551495044309,-0.13811440135550837,-0.1390653222124847,0.0019306688135936638,-0.13829665060825302,785.5884423108727,858.1837447273992,849.1207376470445,20.197531975492115,857.4409495719979,0.14856814196010862,0.15379044366008268,0.1527571654762409,0.0012732089208828759,0.15326051217457232,4.226845750497715,4.271554745548857,4.2652509023901946,0.011997219408178529,4.269755379547207,5.926177007357467E-5,5.9885246471264933E-5,5.979633506877119E-5,1.6691430153473731E-7,5.985742753158859E-5,14.0,14.0,14.0,0.0,14.0,9.638531890198166E-4,0.0010152763753099592,0.001008224202781199,1.3915770328811373E-5,0.0010137089771883974,150742.0,152345.0,152121.53333333333,431.2656763710892,152289.5,71324.0,71339.0,71330.63333333333,3.773083379947755,71330.0,2.505481871968146,2.5205030071077092,2.51679331741996,0.0035447992314098626,2.5177352195134777,6.148234865266523,6.376654329295648,6.249351677144412,0.04720515389543578,6.242163603783258,1.4017578042865794E-5,1.402052605013742E-5,1.401922226146768E-5,7.415386162246028E-10,1.4019346698443872E-5,0.9982321476252782,0.9984128530470454,0.9983907339252344,4.9380295473979124E-5,0.9984106665474725,6.500518744917702,6.635494363748528,6.582517064935927,0.032444912799470586,6.5841861162133775
-0.13888100036344442,-0.13875965960713987,-0.13882249477784883,2.9182371303673368E-5,-0.1388287127243223,853.0770851593094,853.546484016946,853.326443380862,0.10574156594164773,853.3268341131962,0.1536365257589099,0.1550047376196188,0.15436551556311034,3.41625993492545E-4,0.15446179835446708,4.274161901558471,4.277557427366119,4.275583520459004,8.087521973471659E-4,4.275424679037955,5.990332162910779E-5,5.9951750909125715E-5,5.992619951470425E-5,1.1119566503875403E-8,5.992484610953088E-5,14.0,14.0,14.0,0.0,14.0,0.0010046981330484013,0.0010055751011089763,0.0010051686778101573,2.4449959479383653E-7,0.0010051813311361731,152483.0,152604.0,152528.2,30.67257373716619,152519.5,71343.0,71353.0,71348.48333333334,2.9023174064296406,71348.5,2.517420674963561,2.5250588631012447,2.52120261869605,0.0022938640383947137,2.5211108704459066,6.228692763738805,6.433463220453016,6.304171881216457,0.05275351395802515,6.333898607871058,1.4014827687693538E-5,1.4016792116956108E-5,1.4015714909526839E-5,5.701325200082148E-10,1.4015711613406172E-5,0.9984030126896056,0.9984044923863664,0.9984038802931828,4.3665494435183263E-7,0.9984039894838781,6.646260791568562,6.717761488977029,6.683999722455129,0.01978310584137815,6.68447975870764
-0.13890385952358242,-0.13881600928997959,-0.1388664866648239,2.104178467346711E-5,-0.13886855452774005,852.830264027578,853.6742170778607,853.1229418369938,0.17950594391828859,853.1010451938175,0.15395222498571834,0.15467900881851807,0.15415993343106305,1.3902400888352864E-4,0.15414626276090818,4.270255116344267,4.272152697002396,4.271273432615447,4.437157853895204E-4,4.27133586425513,5.985545880196816E-5,5.988428494630986E-5,5.986985965429172E-5,6.085760400590524E-9,5.98701739785797E-5,14.0,14.0,14.0,0.0,14.0,0.0010035790546983317,0.00100508177006613,0.0010043583766951847,3.92257419417809E-7,0.0010042943880119704,152320.0,152424.0,152364.08333333334,23.60357030352011,152360.5,71335.0,71357.0,71343.63333333333,5.695572668547766,71342.0,2.5175067279659116,2.523689374824783,2.5193567777773778,0.0017665024534634151,2.5182044359783036,6.223173860020466,6.459814734363833,6.3371458019613245,0.05922151607479274,6.370248880618542,1.4014042070154292E-5,1.4018364056914552E-5,1.401666777460467E-5,1.1188967191845563E-9,1.4016988590171279E-5,0.9984032183993244,0.9984048837508765,0.9984039687337558,3.523732895971129E-7,0.9984039314184061,6.64232348859702,6.691505466778806,6.66328837791315,0.013588655240220028,6.662174218776331
-0.13863207158389268,-0.13852977189160035,-0.13857943830065209,2.33763195389887E-5,-0.1385816957236176,856.2061873599204,856.9909040478337,856.7365719499351,0.148314066870063,856.7624535741606,0.15365070639062497,0.15398173605337812,0.1538046177293312,7.303420324838384E-5,0.15378911709937054,4.2756765089196875,4.277174446141558,4.276318778044848,3.3826538984797874E-4,4.276329437203854,5.991867077159795E-5,5.994301635054927E-5,5.992949137324906E-5,5.96527377646754E-9,5.9929404801471154E-5,14.0,14.0,14.0,0.0,14.0,0.0010047123668828464,0.0010057546223507959,0.0010053594856263767,2.4017676828455114E-7,0.0010053937956668495,152539.0,152616.0,152572.28333333333,18.347023650614027,152570.5,71341.0,71365.0,71356.83333333333,5.4931904429727325,71358.0,2.5184505206508487,2.5232448948128217,2.52028094981921,0.0016439525431033043,2.5191586855134993,6.275252631431415,6.40699890685876,6.346736356744519,0.05244260715629453,6.384720494228925,1.4012471099278357E-5,1.401718506889444E-5,1.4014074884128907E-5,1.0788653734887952E-9,1.4013845679531424E-5,0.9984088002011877,0.9984104312441933,0.9984098215659007,3.237026164723598E-7,0.9984098800912298,6.675837035583648,6.708718135571843,6.689761636616712,0.011815198136028389,6.683168039077982
